model,template,temperature,n_prompts,eng_cm_statistic,eng_cm_pvalue,eng_cm_cohens_d,eng_cm_significant,cm_cmp_statistic,cm_cmp_pvalue,cm_cmp_cohens_d,cm_cmp_significant,eng_cmp_statistic,eng_cmp_pvalue,eng_cmp_cohens_d,eng_cmp_significant,mean_aasr_english,mean_aasr_cm,mean_aasr_cmp
mistral-7b,AIM,0.2,200,6.0,0.006655605482949377,-0.23794430461127714,True,35.0,0.40538055645894233,-0.059665135914110906,False,0.0,0.0005320055051392492,-0.29177678084380193,True,0.985,0.94,0.925
mistral-7b,AIM,0.6,200,5.5,0.011412036386001648,-0.2576868304878661,True,40.0,0.19670560245894686,-0.1072763342489442,False,8.0,0.0007891129890156299,-0.346384413577341,True,0.995,0.955,0.93
mistral-7b,AIM,1.0,200,9.0,0.15729920705028502,-0.1280447913391382,False,19.5,0.0832645166635504,-0.13763124114987366,False,15.0,0.007526315166457887,-0.25661338659292393,True,0.985,0.965,0.935
mistral-7b,AntiLM,0.2,200,15.0,5.337263600339065e-07,-0.4661918397619956,True,195.0,0.5774686624272996,-0.03961045535532231,False,16.5,1.1372725656979623e-07,-0.5033841333798077,True,0.97,0.835,0.82
mistral-7b,AntiLM,0.6,200,11.0,3.381272563301567e-05,-0.349684356150186,True,188.5,0.7054569861112734,-0.02919329364775897,False,12.0,1.1933310815418253e-05,-0.37723228887912713,True,0.965,0.87,0.86
mistral-7b,AntiLM,1.0,200,81.0,0.006039559048656822,-0.25954656887779265,True,112.5,0.22067136191984693,-0.08907050475480512,False,99.0,0.0004069520174449578,-0.3452497132227387,True,0.955,0.885,0.855
mistral-7b,OM,0.2,200,304.0,0.41107977872331547,-0.07036850775486764,False,262.5,0.4927166772270877,0.05589292297155838,False,420.0,0.8758960579229409,-0.014483118628351756,False,0.865,0.84,0.86
mistral-7b,OM,0.6,200,165.0,0.19364643126922065,-0.10857893256421322,False,245.0,0.3034836640248423,-0.08388054474478807,False,228.0,0.032582798385612746,-0.19212632126664797,True,0.9,0.865,0.835
mistral-7b,OM,1.0,200,270.0,0.39802471950693785,-0.07138466041739572,False,351.0,0.7456027889274615,0.02793823911670431,False,360.0,0.6309540411841708,-0.04345851854983133,False,0.87,0.845,0.855
mistral-7b,Sandbox,0.2,200,10.0,9.616588268883476e-05,-0.3557984822654397,True,22.5,0.03250944464571951,0.14344030522543666,True,14.0,0.012554918596966547,-0.22391261348100536,True,0.98,0.895,0.935
mistral-7b,Sandbox,0.6,200,27.0,0.007632881787792299,-0.2478743518595112,True,70.0,0.25134910881022265,0.09952105092864223,False,30.0,0.10880943004054569,-0.15315926453970027,False,0.975,0.92,0.945
mistral-7b,Sandbox,1.0,200,63.0,0.07363827012030266,-0.1568625935690389,False,143.0,0.5485062355001472,-0.05045633971548088,False,72.0,0.02181011914372237,-0.20627632069786925,True,0.95,0.91,0.895
